state,district,crop,season,year,area_hectares,production_tonnes,yield_tonnes_per_hectare
Uttar Pradesh,District_40,Wheat,Zaid,2024,2115.34,5807.28,2.75
Karnataka,District_7,Sugarcane,Zaid,2020,1339.27,16032.51,11.97
Tamil Nadu,District_32,Rice,Rabi,2010,3951.95,5201.95,1.32
Uttar Pradesh,District_48,Sugarcane,Zaid,2017,4569.67,4521.02,0.99
Maharashtra,District_19,Cotton,Zaid,2018,1564.52,13990.59,8.94
Madhya Pradesh,District_6,Rice,Rabi,2017,3890.95,5820.52,1.5
Tamil Nadu,District_20,Cotton,Rabi,2013,3279.97,361.31,0.11
Tamil Nadu,District_27,Pulses,Rabi,2021,4949.15,18642.15,3.77
Uttar Pradesh,District_43,Oilseeds,Rabi,2011,1059.76,6339.92,5.98
Telangana,District_37,Oilseeds,Zaid,2013,4805.36,15311.11,3.19
Maharashtra,District_48,Oilseeds,Zaid,2023,1610.6,9432.85,5.86
Uttar Pradesh,District_7,Wheat,Rabi,2018,2089.17,2768.19,1.33
Maharashtra,District_5,Maize,Zaid,2019,1826.19,13272.37,7.27
Maharashtra,District_11,Sugarcane,Kharif,2018,1378.83,4708.04,3.41
Madhya Pradesh,District_15,Cotton,Zaid,2014,3481.45,5829.57,1.67
Tamil Nadu,District_3,Wheat,Kharif,2014,2966.27,744.89,0.25
Karnataka,District_5,Oilseeds,Rabi,2019,1563.18,426.43,0.27
Madhya Pradesh,District_23,Sugarcane,Rabi,2012,704.45,10321.03,14.65
Madhya Pradesh,District_37,Sugarcane,Zaid,2023,1621.01,1250.12,0.77
Maharashtra,District_9,Pulses,Rabi,2024,1937.09,4267.41,2.2
Punjab,District_15,Pulses,Zaid,2015,1934.23,18483.76,9.56
Tamil Nadu,District_3,Oilseeds,Zaid,2016,1818.43,1748.82,0.96
Telangana,District_29,Cotton,Zaid,2021,291.18,5886.71,20.22
Madhya Pradesh,District_6,Oilseeds,Zaid,2024,2346.96,14557.91,6.2
Karnataka,District_17,Oilseeds,Kharif,2019,4189.23,17698.07,4.22
Punjab,District_26,Wheat,Kharif,2023,942.81,1019.6,1.08
Punjab,District_21,Maize,Rabi,2024,771.0,3790.25,4.92
Telangana,District_8,Oilseeds,Kharif,2021,2385.66,7818.88,3.28
