crop,year,market_price_per_quintal,msp_price_per_quintal
Pulses,2014,3431.44,3508.76
Wheat,2021,2857.97,1042.9
Cotton,2016,947.38,2550.09
Sugarcane,2020,5042.99,1069.48
Wheat,2010,1146.34,2809.51
Oilseeds,2017,4190.46,1706.03
Sugarcane,2015,2680.6,1587.67
Pulses,2012,4585.15,4610.41
Maize,2013,2232.06,2398.75
Oilseeds,2016,2645.38,2830.73
Oilseeds,2013,5899.6,5269.98
Oilseeds,2021,2818.57,1757.29
Pulses,2024,3984.21,3392.51
Wheat,2021,5740.05,5378.46
Maize,2022,4488.19,5474.71
Rice,2017,2800.58,1210.05
Pulses,2024,2824.86,1561.87
Oilseeds,2024,3020.4,5188.96
Sugarcane,2016,2973.54,4990.54
Oilseeds,2015,2632.71,1956.69
Wheat,2011,3722.77,4642.73
Rice,2020,4958.88,3861.08
Rice,2019,3855.49,2568.11
Rice,2012,2096.54,1611.54
Pulses,2010,4453.67,2509.61
Pulses,2012,3478.22,3596.35
Cotton,2016,4022.23,2426.34
Maize,2021,4477.27,4430.02
Oilseeds,2019,3205.9,3061.28
Maize,2010,2877.58,2003.78
Pulses,2017,5306.6,5029.43
Wheat,2016,5277.9,2473.18
Pulses,2012,4490.87,935.43
Rice,2014,2527.71,4553.07
Sugarcane,2016,4553.48,1479.21
Maize,2012,3049.73,5213.24
Wheat,2016,4419.19,1122.32
Pulses,2015,1890.9,2745.99
Wheat,2022,831.48,3957.81
Wheat,2023,1447.26,1338.35
Rice,2011,3924.42,4847.47
Sugarcane,2021,3025.2,4754.26
Cotton,2021,2634.5,4839.68
Maize,2011,5400.94,2247.99
Maize,2016,1703.69,1272.1
Wheat,2018,5318.75,4620.82
Oilseeds,2019,3384.9,4951.15
Wheat,2013,5872.23,2400.52
Pulses,2013,2418.78,3557.16
Pulses,2014,5061.38,4434.29
Oilseeds,2011,3487.1,4380.23
Rice,2022,2054.31,1660.24
Oilseeds,2017,5264.64,2912.73
Pulses,2017,3699.1,973.22
Oilseeds,2014,4965.65,3658.91
Maize,2020,4050.7,1636.9
Oilseeds,2013,1171.71,5168.37
Rice,2011,3949.93,2198.61
Rice,2015,884.16,3057.44
Sugarcane,2023,4657.4,2075.22
Cotton,2011,2278.65,3262.32
Rice,2015,3144.27,2426.41
Sugarcane,2017,1482.63,3729.09
Maize,2024,1472.25,4975.55
Maize,2022,4404.2,4629.14
Maize,2019,1239.72,2497.69
Maize,2022,3349.45,1629.97
Cotton,2023,4085.94,3571.57
Maize,2012,2878.38,1150.87
Maize,2014,3451.52,3652.81
Cotton,2015,5544.82,3032.66
Cotton,2012,4646.25,2580.8
Wheat,2021,4755.36,1649.6
