state,district,soil_type,ph_level,nitrogen,phosphorus,potassium
Maharashtra,District_4,Laterite,7.45,200.3,292.38,283.72
Uttar Pradesh,District_22,Red,5.64,200.13,195.95,93.52
Maharashtra,District_6,Black,6.39,197.12,274.15,366.81
Uttar Pradesh,District_15,Black,7.7,369.96,149.0,157.1
Maharashtra,District_5,Red,6.26,272.0,105.45,144.98
Punjab,District_15,Black,6.82,425.62,270.04,217.21
Tamil Nadu,District_29,Black,6.35,357.98,54.34,292.09
Uttar Pradesh,District_20,Black,5.81,279.65,252.91,267.97
Tamil Nadu,District_19,Red,6.86,362.55,211.53,230.23
Punjab,District_3,Laterite,7.38,432.25,146.15,83.58
Uttar Pradesh,District_34,Black,6.37,457.17,163.01,383.94
Tamil Nadu,District_32,Black,6.18,255.52,233.33,50.56
Karnataka,District_30,Alluvial,5.87,344.23,215.6,200.82
Madhya Pradesh,District_33,Black,7.54,263.79,171.42,345.59
Andhra Pradesh,District_35,Red,6.18,421.64,200.52,57.15
Maharashtra,District_19,Red,6.79,103.64,58.96,261.42
Punjab,District_1,Laterite,6.01,226.87,122.95,372.05
Uttar Pradesh,District_16,Alluvial,7.35,428.87,71.03,99.32
Madhya Pradesh,District_1,Red,7.37,292.49,233.26,207.97
Telangana,District_26,Laterite,8.07,448.42,133.37,381.74
Telangana,District_43,Black,8.46,404.53,58.91,359.38
Telangana,District_27,Alluvial,8.2,363.91,215.07,71.73
Andhra Pradesh,District_46,Laterite,7.97,145.38,224.07,219.8
Uttar Pradesh,District_25,Red,8.15,105.35,126.85,377.51
Tamil Nadu,District_19,Laterite,5.66,280.63,57.42,301.71
Punjab,District_9,Alluvial,7.78,134.03,186.79,226.49
Tamil Nadu,District_47,Laterite,6.61,370.65,201.71,51.76
Tamil Nadu,District_30,Red,6.07,376.94,282.54,231.18
Punjab,District_45,Laterite,6.8,424.2,292.6,372.0
Telangana,District_11,Laterite,5.85,150.63,83.56,240.82
Andhra Pradesh,District_29,Alluvial,6.3,102.78,187.59,103.34
Karnataka,District_35,Red,6.74,137.62,152.96,311.07
Punjab,District_17,Red,7.26,267.85,260.78,193.49
Madhya Pradesh,District_37,Laterite,8.3,126.19,260.22,264.84
Punjab,District_28,Red,5.72,240.9,196.13,396.28
Punjab,District_46,Black,7.36,295.72,85.01,376.39
Uttar Pradesh,District_34,Alluvial,5.73,425.65,153.12,223.8
Madhya Pradesh,District_2,Laterite,7.28,127.58,68.29,139.15
Andhra Pradesh,District_13,Laterite,7.31,486.37,56.04,58.58
Andhra Pradesh,District_21,Red,6.67,331.76,260.4,192.8
Maharashtra,District_42,Laterite,5.66,465.41,276.41,98.71
Karnataka,District_23,Laterite,7.96,414.64,239.64,128.82
Andhra Pradesh,District_38,Red,6.51,102.24,207.22,298.22
