state,district,year,rainfall_mm,avg_temperature_celsius,humidity
Karnataka,District_18,2015,1381.07,26.43,89.59
Tamil Nadu,District_14,2017,1639.75,36.76,54.91
Karnataka,District_31,2019,565.16,31.1,68.27
Punjab,District_50,2011,1814.84,27.65,41.0
Tamil Nadu,District_18,2014,608.65,35.41,80.32
Telangana,District_47,2017,1018.82,39.77,74.01
Punjab,District_25,2011,1196.22,22.15,51.44
Andhra Pradesh,District_11,2024,833.57,19.12,41.8
Telangana,District_26,2011,1150.78,28.19,53.73
Telangana,District_5,2012,1521.21,24.32,71.43
Maharashtra,District_16,2011,1514.57,32.67,40.76
Madhya Pradesh,District_8,2013,1867.88,28.87,43.77
Telangana,District_13,2013,1765.55,28.98,60.47
Uttar Pradesh,District_32,2010,1974.68,25.81,48.8
Maharashtra,District_27,2015,1312.15,22.63,71.59
Madhya Pradesh,District_49,2021,980.87,22.7,48.73
Maharashtra,District_26,2016,708.17,26.51,89.68
Maharashtra,District_9,2016,714.75,33.0,61.79
Punjab,District_47,2023,556.57,25.42,47.42
Madhya Pradesh,District_7,2021,1535.33,25.17,43.69
Madhya Pradesh,District_50,2014,1412.21,27.35,61.03
Telangana,District_46,2013,796.9,39.8,80.45
Andhra Pradesh,District_8,2011,1816.63,20.01,61.94
Uttar Pradesh,District_2,2014,1238.89,24.48,47.05
Punjab,District_18,2024,417.33,24.42,64.44
Maharashtra,District_36,2013,404.47,39.44,56.87
Madhya Pradesh,District_24,2017,543.42,26.96,65.09
Madhya Pradesh,District_34,2024,659.15,30.47,59.56
Uttar Pradesh,District_42,2019,1808.64,22.36,72.39
Karnataka,District_38,2010,1623.36,18.28,80.18
Karnataka,District_11,2016,642.93,25.46,84.32
Tamil Nadu,District_10,2014,722.44,32.06,77.06
Karnataka,District_29,2019,1382.54,33.21,57.75
Karnataka,District_49,2014,1781.59,34.59,62.42
Maharashtra,District_40,2010,838.44,36.93,72.09
Punjab,District_6,2024,1193.34,20.54,50.99
Madhya Pradesh,District_48,2018,1813.64,19.82,75.09
Madhya Pradesh,District_10,2022,1610.07,35.33,72.49
Telangana,District_30,2024,1815.57,27.59,72.82
Punjab,District_28,2016,772.73,38.84,56.67
Punjab,District_29,2011,1474.59,38.76,70.08
Uttar Pradesh,District_25,2020,493.82,21.12,49.89
Karnataka,District_36,2014,1347.55,33.21,49.48
Madhya Pradesh,District_27,2017,816.84,19.48,78.43
Telangana,District_34,2023,1492.52,26.88,58.98
Andhra Pradesh,District_34,2024,541.19,36.52,67.23
Uttar Pradesh,District_32,2020,1431.49,28.14,54.64
Punjab,District_44,2016,1504.48,18.74,51.79
Punjab,District_4,2023,1757.17,23.29,78.99
Karnataka,District_48,2011,1468.03,19.9,79.71
Andhra Pradesh,District_34,2016,1188.87,26.98,81.81
Uttar Pradesh,District_16,2015,1633.07,33.33,82.72
Andhra Pradesh,District_47,2021,783.54,32.53,60.57
Tamil Nadu,District_46,2022,1451.69,33.82,80.45
Madhya Pradesh,District_11,2017,1531.7,26.44,57.3
Telangana,District_15,2018,967.32,23.84,42.63
Telangana,District_38,2023,1981.24,19.25,74.47
Tamil Nadu,District_30,2016,905.35,38.71,49.95
Uttar Pradesh,District_27,2023,443.63,20.6,62.57
Maharashtra,District_16,2017,815.91,21.92,48.19
Madhya Pradesh,District_1,2021,469.04,18.55,59.58
Uttar Pradesh,District_25,2019,876.82,24.98,84.24
Madhya Pradesh,District_28,2016,517.38,36.01,70.66
Tamil Nadu,District_43,2016,1047.21,25.31,47.41
Uttar Pradesh,District_14,2010,1622.56,32.65,76.28
Punjab,District_34,2014,414.65,39.24,82.39
Tamil Nadu,District_48,2019,1257.28,37.64,48.32
Madhya Pradesh,District_4,2014,374.51,21.96,77.2
Tamil Nadu,District_14,2024,1803.84,25.9,67.46
Andhra Pradesh,District_16,2013,1866.35,34.53,70.21
Madhya Pradesh,District_15,2024,1137.01,39.51,86.95
Uttar Pradesh,District_34,2022,1607.69,33.75,41.83
Uttar Pradesh,District_13,2023,1307.95,23.55,71.94
Telangana,District_17,2010,879.13,20.92,44.07
Maharashtra,District_28,2016,716.74,28.89,79.48
Karnataka,District_10,2017,1589.61,22.24,84.81
Karnataka,District_47,2014,1030.97,23.01,44.33
Karnataka,District_17,2013,1864.41,31.96,41.29
Maharashtra,District_8,2021,1958.68,29.33,87.78
Karnataka,District_2,2018,657.67,20.66,86.33
Maharashtra,District_1,2012,1253.81,21.38,86.19
Karnataka,District_5,2023,1212.79,18.43,86.98
Karnataka,District_35,2012,1775.77,22.83,65.0
Maharashtra,District_22,2022,1474.67,37.52,88.84
Telangana,District_43,2013,1332.54,35.45,84.62
Punjab,District_16,2016,1454.34,27.13,44.88
Punjab,District_9,2011,962.08,34.32,80.64
Maharashtra,District_36,2017,1932.5,26.95,75.62
Madhya Pradesh,District_9,2011,397.96,35.43,46.7
Maharashtra,District_14,2013,349.52,22.0,76.9
Tamil Nadu,District_10,2011,1006.5,21.36,64.25
Andhra Pradesh,District_22,2023,562.78,19.71,82.69
Uttar Pradesh,District_16,2018,1226.16,23.32,80.94
Andhra Pradesh,District_41,2022,315.32,21.22,87.12
Telangana,District_3,2013,1081.46,35.57,43.76
Telangana,District_28,2014,801.37,23.28,75.51
Telangana,District_30,2018,644.01,29.36,58.85
Andhra Pradesh,District_29,2011,1055.9,34.64,78.8
Telangana,District_1,2013,1752.73,32.9,70.13
Punjab,District_28,2015,1414.17,22.5,64.78
Telangana,District_22,2010,571.9,19.7,40.21
Uttar Pradesh,District_32,2010,1148.08,38.06,70.36
Madhya Pradesh,District_11,2016,1883.84,31.68,61.02
Madhya Pradesh,District_26,2015,1046.68,33.54,56.63
Maharashtra,District_31,2022,1099.93,26.49,89.44
Punjab,District_20,2013,1900.31,23.32,75.02
Punjab,District_20,2014,530.87,29.67,66.99
Maharashtra,District_33,2014,1549.57,19.71,83.44
Uttar Pradesh,District_5,2018,808.57,35.6,51.35
Andhra Pradesh,District_41,2014,1772.02,32.4,71.0
Maharashtra,District_3,2011,392.42,34.76,83.05
Telangana,District_44,2016,1983.68,30.52,46.18
Maharashtra,District_50,2024,1606.63,30.71,51.8
Punjab,District_34,2024,783.37,31.21,44.13
Tamil Nadu,District_31,2019,1593.46,35.25,89.62
Maharashtra,District_42,2018,1869.05,22.96,69.05
Andhra Pradesh,District_7,2016,491.96,32.99,64.47
Telangana,District_30,2017,1853.08,30.16,56.92
Punjab,District_18,2022,912.3,28.89,62.47
Punjab,District_16,2024,310.98,29.9,78.79
Telangana,District_13,2019,491.12,23.99,85.84
Andhra Pradesh,District_33,2012,1804.15,18.82,45.25
Maharashtra,District_7,2020,1970.53,34.7,54.98
Uttar Pradesh,District_30,2022,1822.13,38.16,49.46
Telangana,District_11,2018,1050.61,28.58,61.77
Telangana,District_6,2016,1934.4,36.43,66.52
Tamil Nadu,District_21,2019,991.65,30.22,76.06
